time	V(vinput)
1.520876583039287e-001	-1.307504e+000
1.525061850896430e-001	-1.567731e+000
1.529247118753573e-001	-1.827325e+000
1.539291761610715e-001	-2.449599e+000
1.549336404467857e-001	-3.056262e+000
1.559381047324999e-001	-3.647317e+000
1.569425690182142e-001	-4.222763e+000
1.579470333039284e-001	-4.782599e+000
1.589514975896426e-001	-5.326826e+000
1.599559618753569e-001	-5.855444e+000
1.612394440182139e-001	-6.497830e+000
1.625229261610710e-001	-7.089347e+000
1.638064083039281e-001	-7.629995e+000
1.650898904467851e-001	-8.119775e+000
1.663733725896422e-001	-8.558685e+000
1.676568547324993e-001	-8.946727e+000
1.689403368753563e-001	-9.283899e+000
1.696936850896420e-001	-9.449953e+000
1.704470333039277e-001	-9.594174e+000
1.712003815182134e-001	-9.716564e+000
1.719537297324990e-001	-9.817121e+000
1.727070779467847e-001	-9.895846e+000
1.734604261610704e-001	-9.952739e+000
1.742137743753560e-001	-9.987801e+000
1.746881047324989e-001	-9.998052e+000
1.751624350896417e-001	-9.999444e+000
1.756367654467845e-001	-9.991977e+000
1.761110958039274e-001	-9.975649e+000
1.765854261610702e-001	-9.950463e+000
1.770597565182130e-001	-9.916416e+000
1.775340868753559e-001	-9.873510e+000
1.785385511610701e-001	-9.751697e+000
1.795430154467843e-001	-9.593067e+000
1.805474797324985e-001	-9.397620e+000
1.815519440182128e-001	-9.165356e+000
1.825564083039270e-001	-8.896275e+000
1.835608725896412e-001	-8.590377e+000
1.845653368753555e-001	-8.247662e+000
1.856814083039268e-001	-7.824931e+000
1.867974797324982e-001	-7.369800e+000
1.879135511610696e-001	-6.882271e+000
1.890296225896409e-001	-6.362342e+000
1.901456940182123e-001	-5.810015e+000
1.912617654467836e-001	-5.225288e+000
1.923778368753550e-001	-4.608162e+000
1.927684618753550e-001	-4.388632e+000
1.931590868753550e-001	-4.166797e+000
1.935497118753549e-001	-3.942656e+000
1.939403368753549e-001	-3.716210e+000
1.943309618753549e-001	-3.487459e+000
1.947215868753549e-001	-3.256402e+000
1.951122118753549e-001	-3.023040e+000
1.953075243753548e-001	-2.905838e+000
1.957539529467834e-001	-2.635795e+000
1.962003815182119e-001	-2.364217e+000
1.966468100896405e-001	-2.091102e+000
1.970932386610690e-001	-1.816451e+000
1.975396672324976e-001	-1.540264e+000
1.979860958039261e-001	-1.262541e+000
1.984325243753547e-001	-9.832826e-001
1.999950243753546e-001	-3.126277e-003
2.000000000000000e-001	-4.898587e-015
